strategy,month,position,fwd_return,pnl
web_sentiment_only,2019-10-01,1.0,0.03619841220671405,0.03619841220671405
wisdom_aligned,2019-10-01,1.0,0.03619841220671405,0.03619841220671405
arbitrage_trust_price,2019-10-01,1.0,0.03619841220671405,0.03619841220671405
buy_hold,2019-11-01,1.0,0.029055676629772043,0.029055676629772043
price_math_only,2019-11-01,1.0,0.029055676629772043,0.029055676629772043
web_sentiment_only,2019-11-01,0.0,0.029055676629772043,0.0
wisdom_aligned,2019-11-01,0.5,0.029055676629772043,0.014527838314886021
arbitrage_trust_price,2019-11-01,1.0,0.029055676629772043,0.029055676629772043
buy_hold,2019-12-01,1.0,-0.0004038058179578474,-0.0004038058179578474
price_math_only,2019-12-01,1.0,-0.0004038058179578474,-0.0004038058179578474
web_sentiment_only,2019-12-01,1.0,-0.0004038058179578474,-0.0004038058179578474
wisdom_aligned,2019-12-01,1.0,-0.0004038058179578474,-0.0004038058179578474
arbitrage_trust_price,2019-12-01,1.0,-0.0004038058179578474,-0.0004038058179578474
buy_hold,2020-01-01,1.0,-0.07916576884257709,-0.07916576884257709
price_math_only,2020-01-01,0.0,-0.07916576884257709,-0.0
web_sentiment_only,2020-01-01,1.0,-0.07916576884257709,-0.07916576884257709
wisdom_aligned,2020-01-01,0.5,-0.07916576884257709,-0.039582884421288544
arbitrage_trust_price,2020-01-01,0.0,-0.07916576884257709,-0.0
buy_hold,2020-02-01,1.0,-0.1248712618307517,-0.1248712618307517
price_math_only,2020-02-01,0.0,-0.1248712618307517,-0.0
web_sentiment_only,2020-02-01,0.0,-0.1248712618307517,-0.0
wisdom_aligned,2020-02-01,0.0,-0.1248712618307517,-0.0
arbitrage_trust_price,2020-02-01,0.0,-0.1248712618307517,-0.0
buy_hold,2020-03-01,1.0,0.1269833214621059,0.1269833214621059
price_math_only,2020-03-01,0.0,0.1269833214621059,0.0
web_sentiment_only,2020-03-01,0.0,0.1269833214621059,0.0
wisdom_aligned,2020-03-01,0.0,0.1269833214621059,0.0
arbitrage_trust_price,2020-03-01,0.0,0.1269833214621059,0.0
buy_hold,2020-04-01,1.0,0.05889195465035968,0.05889195465035968
price_math_only,2020-04-01,1.0,0.05889195465035968,0.05889195465035968
web_sentiment_only,2020-04-01,1.0,0.05889195465035968,0.05889195465035968
wisdom_aligned,2020-04-01,1.0,0.05889195465035968,0.05889195465035968
arbitrage_trust_price,2020-04-01,1.0,0.05889195465035968,0.05889195465035968
buy_hold,2020-07-01,1.0,0.0697968076101334,0.0697968076101334
price_math_only,2020-07-01,1.0,0.0697968076101334,0.0697968076101334
web_sentiment_only,2020-07-01,1.0,0.0697968076101334,0.0697968076101334
wisdom_aligned,2020-07-01,1.0,0.0697968076101334,0.0697968076101334
arbitrage_trust_price,2020-07-01,1.0,0.0697968076101334,0.0697968076101334
buy_hold,2020-08-01,1.0,-0.03744357791749786,-0.03744357791749786
price_math_only,2020-08-01,1.0,-0.03744357791749786,-0.03744357791749786
web_sentiment_only,2020-08-01,1.0,-0.03744357791749786,-0.03744357791749786
wisdom_aligned,2020-08-01,1.0,-0.03744357791749786,-0.03744357791749786
arbitrage_trust_price,2020-08-01,1.0,-0.03744357791749786,-0.03744357791749786
buy_hold,2020-09-01,1.0,-0.02493362927118714,-0.02493362927118714
price_math_only,2020-09-01,0.0,-0.02493362927118714,-0.0
web_sentiment_only,2020-09-01,1.0,-0.02493362927118714,-0.02493362927118714
wisdom_aligned,2020-09-01,0.5,-0.02493362927118714,-0.01246681463559357
arbitrage_trust_price,2020-09-01,0.0,-0.02493362927118714,-0.0
buy_hold,2020-10-01,1.0,0.10877698456794693,0.10877698456794693
price_math_only,2020-10-01,0.0,0.10877698456794693,0.0
web_sentiment_only,2020-10-01,1.0,0.10877698456794693,0.10877698456794693
wisdom_aligned,2020-10-01,0.5,0.10877698456794693,0.054388492283973466
arbitrage_trust_price,2020-10-01,0.0,0.10877698456794693,0.0
buy_hold,2020-11-01,1.0,0.03704836599999717,0.03704836599999717
price_math_only,2020-11-01,1.0,0.03704836599999717,0.03704836599999717
web_sentiment_only,2020-11-01,1.0,0.03704836599999717,0.03704836599999717
wisdom_aligned,2020-11-01,1.0,0.03704836599999717,0.03704836599999717
arbitrage_trust_price,2020-11-01,1.0,0.03704836599999717,0.03704836599999717
buy_hold,2020-12-01,1.0,-0.010190570016076927,-0.010190570016076927
price_math_only,2020-12-01,1.0,-0.010190570016076927,-0.010190570016076927
web_sentiment_only,2020-12-01,1.0,-0.010190570016076927,-0.010190570016076927
wisdom_aligned,2020-12-01,1.0,-0.010190570016076927,-0.010190570016076927
arbitrage_trust_price,2020-12-01,1.0,-0.010190570016076927,-0.010190570016076927
buy_hold,2021-01-01,1.0,0.027805476995289347,0.027805476995289347
price_math_only,2021-01-01,0.0,0.027805476995289347,0.0
web_sentiment_only,2021-01-01,1.0,0.027805476995289347,0.027805476995289347
wisdom_aligned,2021-01-01,0.5,0.027805476995289347,0.013902738497644673
arbitrage_trust_price,2021-01-01,0.0,0.027805476995289347,0.0
buy_hold,2021-02-01,1.0,0.04539930418645599,0.04539930418645599
price_math_only,2021-02-01,1.0,0.04539930418645599,0.04539930418645599
web_sentiment_only,2021-02-01,0.0,0.04539930418645599,0.0
wisdom_aligned,2021-02-01,0.5,0.04539930418645599,0.022699652093227995
arbitrage_trust_price,2021-02-01,0.5,0.04539930418645599,0.022699652093227995
buy_hold,2021-03-01,1.0,0.05291064876849405,0.05291064876849405
price_math_only,2021-03-01,1.0,0.05291064876849405,0.05291064876849405
web_sentiment_only,2021-03-01,1.0,0.05291064876849405,0.05291064876849405
wisdom_aligned,2021-03-01,1.0,0.05291064876849405,0.05291064876849405
arbitrage_trust_price,2021-03-01,1.0,0.05291064876849405,0.05291064876849405
buy_hold,2021-04-01,1.0,0.006566017023239112,0.006566017023239112
price_math_only,2021-04-01,1.0,0.006566017023239112,0.006566017023239112
web_sentiment_only,2021-04-01,0.0,0.006566017023239112,0.0
wisdom_aligned,2021-04-01,0.5,0.006566017023239112,0.003283008511619556
arbitrage_trust_price,2021-04-01,1.0,0.006566017023239112,0.006566017023239112
buy_hold,2021-05-01,1.0,0.022427306195101027,0.022427306195101027
price_math_only,2021-05-01,1.0,0.022427306195101027,0.022427306195101027
web_sentiment_only,2021-05-01,1.0,0.022427306195101027,0.022427306195101027
wisdom_aligned,2021-05-01,1.0,0.022427306195101027,0.022427306195101027
arbitrage_trust_price,2021-05-01,1.0,0.022427306195101027,0.022427306195101027
buy_hold,2021-06-01,1.0,0.02441254366216694,0.02441254366216694
price_math_only,2021-06-01,1.0,0.02441254366216694,0.02441254366216694
web_sentiment_only,2021-06-01,1.0,0.02441254366216694,0.02441254366216694
wisdom_aligned,2021-06-01,1.0,0.02441254366216694,0.02441254366216694
arbitrage_trust_price,2021-06-01,1.0,0.02441254366216694,0.02441254366216694
buy_hold,2021-07-01,1.0,0.029759891958028195,0.029759891958028195
price_math_only,2021-07-01,1.0,0.029759891958028195,0.029759891958028195
web_sentiment_only,2021-07-01,0.0,0.029759891958028195,0.0
wisdom_aligned,2021-07-01,0.5,0.029759891958028195,0.014879945979014098
