ts_ct,qty_sold,px,qty_before,vti_val,equity,cash,cash_pct,vti_pct,sell_notional,kind,heuristic,would_skip_cash_need,cycle_lag_hours,cycle_stale,order_id
2026-08-05 12:18:19,10.211,380.49,143.321,54532,97398.0,30287.0,31.1,56.0,3885.29,cash_unused,cash_unused,True,0.02,False,34dd4e22-f97e-4ad1-a46b-7dbd42486ebb
2026-08-05 12:22:08,15.343,380.49,143.35,54544,97392.0,28339.0,29.1,56.0,5837.72,cash_unused,cash_unused,True,0.026,False,cb382ab9-925c-4f0d-a009-ca2c3d90d22e
2026-08-05 12:27:20,10.214,380.64,138.247,52622,97386.0,32234.0,33.1,54.0,3887.75,cash_unused,cash_unused,True,0.018,False,11304634-65de-4345-a6d1-fdc2c992bee3
2026-08-05 12:29:39,10.153,380.5,138.277,52614,97474.0,28082.0,28.8,54.0,3863.11,cash_unused,cash_unused,True,0.019,False,a67fcae0-dc10-4997-8c2a-c9af834875c2
2026-08-05 12:34:26,10.306,380.54,138.37,52655,97438.0,32672.0,33.5,54.0,3921.89,cash_unused,cash_unused,True,0.025,False,4f1a7f15-9169-4a63-b053-75cc0afeeacf
2026-08-05 12:38:00,10.291,380.65,138.311,52648,97493.0,21315.0,21.9,54.0,3917.28,cash_unused,cash_unused,True,0.019,False,a6f9cbbe-099b-4386-9827-c767f55988a6
2026-08-05 12:41:54,10.268,380.67,138.26,52632,97463.0,21430.0,22.0,54.0,3908.91,cash_unused,cash_unused,True,0.02,False,baef2c16-ea76-4b1d-8744-9676702b823d
2026-08-05 12:44:37,10.257,380.69,138.231,52623,97458.0,21500.0,22.1,54.0,3904.61,cash_unused,cash_unused,True,0.026,False,4fd72d1f-7633-4c4a-b22c-43b7ca0c7ea8
2026-08-05 12:48:53,10.147,380.67,143.436,54602,97453.0,21523.0,22.1,56.0,3862.6,cash_unused,cash_unused,True,0.017,False,d01a4486-d48a-4d9f-9039-9b5c78a9e719
2026-08-05 12:53:08,5.281,380.73,143.371,54586,97500.0,21530.0,22.1,56.0,2010.63,cash_unused,cash_unused,True,0.028,False,479066af-05a2-4d69-ba51-56857529f5ec
2026-08-05 12:58:41,10.1,380.72,138.09,52573,97489.0,31202.0,32.0,53.9,3845.16,cash_unused,cash_unused,True,0.027,False,f115205d-8ded-40dd-8caa-00789a572ca6
2026-08-05 13:19:10,15.374,380.77,143.357,54586,97455.0,29373.0,30.1,56.0,5854.01,cash_unused,cash_unused,True,0.13,False,98da94db-067d-4a83-b04d-632fe690b7ea
